"","Plot","sensor","year","doy","cfmask","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band6","sr_band7"
"190",23,"LC8","2013","212",4,4325,4442,4673,4879,5747,4976,4421
"191",22,"LC8","2013","212",4,4206,4323,4490,4689,5528,4782,4221
"192",21,"LC8","2013","212",4,4037,4134,4320,4520,5390,4751,4162
"193",21,"LC8","2013","212",4,3990,4097,4251,4472,5361,4738,4124
"194",17,"LC8","2013","212",4,4036,4141,4337,4526,5420,4820,4203
"195",18,"LC8","2013","212",4,4164,4290,4483,4685,5572,4957,4329
"196",19,"LC8","2013","212",4,4262,4381,4595,4807,5686,5074,4449
"197",12,"LC8","2013","212",4,3868,3980,4170,4381,5288,4817,4167
"198",24,"LC8","2013","212",4,4134,4251,4443,4652,5538,4955,4349
"199",9,"LC8","2013","228",0,666,834,1281,1677,2994,3327,2726
"200",9,"LC8","2013","228",0,843,1044,1558,2109,3259,3675,3136
"201",8,"LC8","2013","228",0,708,879,1371,1779,3137,3374,2740
"202",8,"LC8","2013","228",0,840,1048,1556,2102,3217,3612,3073
"203",6,"LC8","2013","228",0,869,1070,1582,2174,3231,3672,3173
"204",5,"LC8","2013","228",0,826,1042,1538,2074,3272,3565,3008
"205",5,"LC8","2013","228",0,817,1012,1551,2050,3317,3630,3063
"206",5,"LC8","2013","228",0,856,1069,1599,2145,3309,3673,3116
"207",4,"LC8","2013","228",0,860,1077,1608,2154,3328,3653,3107
"208",3,"LC8","2013","228",0,852,1072,1585,2136,3329,3579,3046
"209",3,"LC8","2013","228",0,787,953,1488,1976,3251,3365,2862
"210",7,"LC8","2013","228",0,829,1034,1535,2075,3254,3650,3110
"211",7,"LC8","2013","228",0,852,1046,1584,2132,3277,3667,3151
"212",2,"LC8","2013","228",0,760,956,1416,1910,3225,3330,2750
"213",1,"LC8","2013","228",0,764,950,1451,1917,3199,3494,2898
"214",1,"LC8","2013","228",0,816,1009,1524,2045,3273,3531,2983
"215",16,"LC8","2013","228",0,852,1056,1554,2133,3253,3642,3122
"216",11,"LC8","2013","228",0,820,1004,1534,2055,3210,3647,3107
"217",10,"LC8","2013","228",0,927,1132,1677,2314,3319,3782,3264
"218",14,"LC8","2013","228",0,853,1052,1581,2132,3207,3675,3152
"219",13,"LC8","2013","228",0,864,1042,1607,2160,3262,3687,3178
"220",15,"LC8","2013","228",0,860,1053,1587,2149,3266,3710,3202
"221",15,"LC8","2013","228",0,920,1119,1671,2288,3243,3824,3370
"222",20,"LC8","2013","228",0,798,991,1479,2003,3156,3533,2989
"223",23,"LC8","2013","228",0,754,912,1448,1893,3243,3491,2924
